Attribute,Group,Accuracy,Precision,Recall,F1-Score
Age,Young,0.2857142857142857,0.25,0.07142857142857142,0.11111111111111112
Age,Middle-aged,0.27,0.25,0.0675,0.1062992125984252
Age,Senior,0.17777777777777778,0.25,0.044444444444444446,0.07547169811320754
Age,Average,0.24449735449735452,0.25,0.06112433862433863,0.09762734060758128
Gender,Male,0.25,0.2930280205208469,0.16704035342463153,0.2023574156196107
Gender,Female,0.29245283018867924,0.252003606491685,0.21823384526224282,0.22202344014752418
Gender,Average,0.27122641509433965,0.27251581350626597,0.19263709934343717,0.21219042788356746
Overall,Average,0.2559526661817767,0.2596496343598283,0.11748695036109516,0.14672580658300394
