Attribute,Group,Accuracy,Precision,Recall,F1-Score
Age,Young,0.5900621118012422,0.5871933359646025,0.5900621118012422,0.5861113612901081
Age,Middle-aged,0.64,0.6401611351611352,0.64,0.6376290367649994
Age,Senior,0.5777777777777777,0.6032921810699587,0.5777777777777777,0.5354819447158709
Age,Average,0.60261329652634,0.6102155507318988,0.60261329652634,0.586407447590326
Gender,Male,0.535,0.5403032377692198,0.535,0.5285848004954437
Gender,Female,0.7358490566037735,0.7374332600097077,0.7358490566037735,0.7293974061454638
Gender,Average,0.6354245283018868,0.6388682488894637,0.6354245283018868,0.6289911033204537
Overall,Average,0.6166752530015743,0.6224952785137123,0.6166752530015743,0.6046575857603808
